NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Lipovec,303,1401,1275,1325,1300,314,3.55,8,8,0,82691,10974,11952,4227,13895,0,-665440.1488,-1072198.523
Lány na Důlku,304,1337,1300,1400,1350,217,0.98,9,9+10+11,1,90551,6803,12806,8391,687,0,-653904.3155,-1060191.732
Kostelec u Heřmanova Městce,305,1257,1250,1300,1275,331,3.95,7,6+7,0,89998,10695,15452,3996,12048,0,-657674.628,-1072195.878
Dřenice,306,1381,1200,1300,1250,243,1.09,9,9+10+11,1,95595,4969,12138,2842,6285,0,-650173.6905,-1066613.169
Vysoké Chvojno,307,1336,1275,1325,1300,304,2.09,8,8,0,110979,14948,9577,20378,9868,1,-632438.6696,-1054601.086
Pardubičky,308,1392,1200,1300,1250,233,0.89,9,9+10+11,1,98388,8192,6471,7977,3346,0,-646345.1697,-1062369.253
Vestec,310,1399,1200,1300,1250,262,1.61,9,9+10+11,1,100200,2176,11304,2016,8825,0,-645953.5863,-1068682.211
Trojovice,311,1244,1200,1300,1250,253,1.19,9,9+10+11,1,108769,9210,4861,875,15688,0,-638434.7894,-1073617.351
Blansko,312,1382,1200,1300,1250,246,1.06,9,9+10+11,1,109899,10390,6019,2889,15449,0,-636855.2269,-1072191.247
Chrast,314,1318,1200,1300,1250,288,2.08,9,9+10+11,0,110561,11586,1266,1987,19742,1,-637688.6644,-1077268.601
Leština,315,1461,1200,1400,1300,408,4.22,7,6+7,0,124046,10071,12393,1530,18480,0,-625213.5603,-1082491.476
Štěnec,316,1372,1200,1300,1250,295,2.53,8,8,0,118189,8152,8512,4591,22097,0,-629002.3936,-1074895.289
Vysoké Mýto,317,1258,1200,1300,1250,289,2.09,8,8,1,125530,5,14196,9722,26485,1,-621000.7321,-1073349.461
Horní Sloupnice,318,1292,1200,1400,1300,379,2.79,8,8,0,136777,5575,5474,9856,28741,0,-610617.1592,-1078126.513
Česká Třebová,319,1278,1200,1400,1300,380,5.12,7,6+7,0,146765,8875,10246,14411,31070,1,-601147.7217,-1081375.596
Opatov,320,1347,1200,1300,1250,439,2.83,7,6+7,0,152351,12484,14820,9953,26984,0,-598038.8675,-1090471.971
Boršov,321,1280,1200,1300,1250,377,4.68,8,8,0,163365,2672,27067,10630,22844,0,-589765.3467,-1100158.367
Moravská Třebová,322,1270,1200,1300,1250,365,4.94,7,6+7,0,165160,55,28291,13221,20283,1,-587411.8779,-1098955.836
Jevíčko,323,1200,1200,1300,1250,362,3.75,8,8,0,172303,14427,39224,8697,22900,1,-585446.0238,-1113194.388
Přibyslav,324,1257,1200,1300,1250,486,3.17,7,6+7,0,110462,8079,14530,10681,634,1,-656071.253,-1111416.388
Havlíčkův Brod,326,1234,1200,1300,1250,422,2.97,7,6+7,0,98965,26,22819,77,299,1,-667085.8572,-1106735.909
Herálec,328,1280,1200,1300,1250,562,3.81,6,6+7,0,96807,12291,17443,9990,10452,0,-676975.0313,-1113993.223
Jiřice,329,1226,1200,1300,1250,569,3.48,7,6+7,0,87690,15170,7888,19775,12005,0,-686613.8022,-1110336.681
Pelhřimov,331,1289,1200,1300,1250,496,3.86,7,6+7,0,93109,50,10939,25402,26833,1,-695093.698,-1122973.181
Pacov,333,1316,1250,1300,1275,572,3.86,6,6+7,0,80200,16615,16595,16038,30005,1,-710338.9897,-1116353.306
